T,MU_PARAM_C1,MU_PARAM_C2,MU_PARAM_C3,MU_PARAM_OBJ,MU_PARAM_I1,MU_PARAM_I2,MU_PARAM_I3,MU_PARAM_P1,MU_PARAM_P2
617.274,2.00723,3.99504,0.850262,12.1905,3.19249,4.98199,1.34739,3.17235,4.71564
635.308,2.0046,3.9906,0.86179,12.198,3.2225,5.1713,1.56784,2.75791,5.13812
638.333,2.00579,4.00579,0.85603,12.1897,3.10528,4.93736,1.53829,3.20095,4.87127
641.359,2.00649,3.99309,0.857308,12.1782,3.22309,5.3319,1.25072,3.48541,5.51687
644.386,2.00541,3.99616,0.857997,12.2314,3.19658,5.35922,1.65696,2.78882,5.81249
647.413,2.00456,3.98538,0.850432,12.2057,3.12883,4.73201,1.72703,3.07757,5.56415
650.439,2.00471,3.98511,0.853525,12.2748,3.18709,5.26943,1.33912,2.92545,5.69067
653.465,2.00306,4.01036,0.854311,12.2416,3.18093,4.81592,1.69199,2.56213,5.56985
656.491,2.00735,4.00726,0.85688,12.3085,3.16031,5.38534,1.51525,3.05119,5.53093
659.518,2.00391,4.00771,0.858709,12.3149,3.15034,5.29002,1.45489,2.80387,4.65359
662.544,2.00384,4.01145,0.85255,12.1941,3.11901,5.13345,1.45109,2.55694,5.10066
665.57,2.00507,4.01216,0.858904,12.2557,3.20324,4.58608,1.74731,2.62518,4.95955
668.597,2.00682,4.00302,0.858406,12.2542,3.08714,5.00356,1.60341,2.63061,4.95809
671.623,2.00566,3.99555,0.859069,12.2615,3.21885,5.28984,1.7291,2.56791,5.22477
674.649,2.00608,3.99483,0.855087,12.2675,3.12024,5.00581,1.4828,2.68118,5.77076
677.676,2.00331,3.99332,0.86088,12.1995,3.17084,4.6803,1.65566,2.91626,5.13065
680.702,2.00355,3.99316,0.85829,12.2675,3.11311,4.81691,1.41212,2.71136,4.89401
683.728,2.00623,3.99297,0.861012,12.2012,3.12771,4.8081,1.64879,3.03634,5.62931
686.755,2.00278,4.00953,0.857809,12.1809,3.11989,5.49204,1.40221,3.49564,5.40069
689.781,2.00622,4.00911,0.850999,12.1915,3.10195,5.27024,1.35565,2.71908,4.9304
692.808,2.00448,4.00181,0.84807,12.2781,3.18334,4.50442,1.5212,2.74869,5.39027
695.834,2.00597,3.98983,0.861657,12.3187,3.09533,5.08318,1.39625,2.65708,4.92183
698.86,2.00735,3.98624,0.858422,12.1958,3.14052,4.5823,1.37018,3.44458,5.67939
701.887,2.00406,3.99182,0.850616,12.2095,3.10915,5.2857,1.39879,3.47193,5.10769
704.913,2.0049,4.00971,0.852499,12.2304,3.14079,4.53155,1.26699,2.96694,4.69746
707.939,2.00685,4.01166,0.848185,12.2979,3.1111,4.72112,1.73757,3.23242,4.69308
710.966,2.00657,3.99505,0.854171,12.2335,3.08918,5.14645,1.49715,3.08852,4.93449
713.992,2.0037,3.98746,0.861108,12.232,3.11236,4.56872,1.71072,3.13765,5.56013
717.018,2.00471,3.99751,0.858502,12.2206,3.18733,5.33297,1.47788,3.4962,5.15983
720.045,2.00282,4.00819,0.849267,12.2676,3.12377,4.50223,1.35213,2.75601,5.35803
723.071,2.00545,3.99627,0.847931,12.2863,3.21421,4.57721,1.61363,2.50766,5.14672
726.098,2.00509,4.01411,0.851977,12.2724,3.16624,4.59683,1.46728,2.59679,5.03663
729.124,2.00531,4.01255,0.859871,12.2107,3.19882,4.895,1.30939,3.28716,5.25219
732.15,2.00296,4.01436,0.854582,12.2796,3.17977,5.05386,1.64836,3.22172,4.63223
735.177,2.00265,3.99715,0.848844,12.3119,3.12596,4.88798,1.31425,3.29404,5.81247
738.203,2.00453,3.98874,0.861297,12.2677,3.18482,4.69958,1.55089,3.0598,5.44044
741.229,2.00351,3.99937,0.860831,12.2103,3.19167,4.51496,1.26732,2.64924,4.97282
744.256,2.00456,4.0073,0.854879,12.2104,3.16643,5.40619,1.49861,2.89432,4.96124
747.282,2.00401,3.99941,0.850123,12.323,3.15664,4.81975,1.34491,2.68506,4.63433
750.308,2.00482,4.01303,0.857873,12.289,3.1392,5.04443,1.34736,2.77382,4.61466
753.335,2.00678,4.00039,0.862072,12.195,3.14627,4.50018,1.73118,3.33025,5.50609
756.361,2.00396,4.00569,0.851243,12.219,3.19577,4.96597,1.50032,3.08532,5.12302
759.388,2.00729,3.9859,0.849029,12.227,3.18944,5.3757,1.54771,2.82079,5.36152
762.414,2.00671,4.00536,0.862346,12.2504,3.21199,4.69345,1.60467,2.91488,5.81617
765.44,2.0075,4.00964,0.856132,12.3042,3.11915,4.90765,1.28001,3.01333,4.68244
768.467,2.00513,3.9961,0.849022,12.2784,3.12549,5.45007,1.4475,3.11031,5.59143
771.493,2.00469,4.01188,0.851095,12.3133,3.1793,5.47178,1.4788,2.69581,5.21412
774.519,2.00476,4.01321,0.852092,12.2213,3.18172,4.68835,1.48978,3.37871,4.64781
777.546,2.00575,3.98978,0.849288,12.2798,3.19777,5.30222,1.52083,3.28971,4.6326
780.572,2.00596,3.99755,0.855574,12.2035,3.19736,4.87889,1.59538,3.25983,4.81051
783.599,2.00332,3.99581,0.854927,12.2537,3.22126,5.07529,1.71919,2.70014,4.72223
786.625,2.00302,4.01291,0.853213,12.2459,3.22442,5.45921,1.53087,3.39225,5.17877
789.651,2.00661,3.98742,0.855904,12.2863,3.18439,4.89807,1.29135,2.94741,5.28047
792.677,2.00551,4.00406,0.857473,12.1801,3.12217,5.15112,1.68775,2.76891,5.4935
795.704,2.00414,4.00124,0.855454,12.2667,3.18125,5.13792,1.66493,2.53781,5.21746
798.73,2.00457,3.99822,0.856396,12.2459,3.16725,5.07984,1.47236,3.16148,5.39652
801.757,2.00521,3.99677,0.848013,12.2495,3.13325,5.35287,1.37844,2.62879,5.24955
804.783,2.00356,3.99285,0.849564,12.1965,3.09715,4.51764,1.39041,2.77073,5.06668
807.809,2.0066,3.99528,0.859892,12.2572,3.20466,4.60657,1.25901,3.0561,5.38468
810.836,2.00455,3.99216,0.857152,12.2465,3.11812,4.67004,1.62492,3.01965,5.20619
813.862,2.00603,3.99785,0.847585,12.2139,3.19851,5.10276,1.56067,3.27755,5.31909
816.888,2.0063,4.00675,0.847629,12.2424,3.19065,5.34799,1.58589,2.88439,4.9314
819.915,2.00487,4.00716,0.849198,12.2777,3.21949,4.59959,1.72389,3.41845,5.56847
822.941,2.00333,4.00416,0.851669,12.2499,3.13035,4.90977,1.42717,2.62913,5.22845
825.967,2.00339,3.98582,0.852246,12.2965,3.21059,4.93072,1.38479,2.50049,5.69625
828.994,2.00618,4.0104,0.8616,12.3162,3.16585,4.85043,1.71453,2.66171,5.51048
832.02,2.00284,3.99884,0.848706,12.2905,3.13088,5.40391,1.69098,2.75341,4.88641
835.046,2.00624,3.9894,0.859496,12.2387,3.2148,5.48735,1.40666,3.10941,4.77969
838.073,2.00407,3.99995,0.851429,12.3077,3.0758,4.61762,1.42995,3.05306,4.88246
841.099,2.00264,3.9986,0.853769,12.2004,3.13065,5.32183,1.63938,3.36039,4.83786
844.126,2.00593,3.99444,0.860961,12.3247,3.16472,4.59366,1.71043,2.74232,5.51298
847.152,2.00254,3.9998,0.856409,12.2828,3.1089,4.86195,1.57957,3.34623,5.03386
850.179,2.00698,4.00432,0.856625,12.239,3.21837,4.99855,1.47302,2.55646,4.80531
853.204,2.00647,3.98852,0.860245,12.2305,3.11364,5.38648,1.27695,3.26818,5.40237
856.231,2.00735,4.00787,0.851034,12.2065,3.20303,4.53449,1.45516,2.70948,4.79792
859.258,2.0069,4.01346,0.859059,12.2334,3.22019,4.71052,1.74866,3.38959,5.26891
862.284,2.00537,3.98863,0.858133,12.3218,3.17003,4.62589,1.33737,3.30125,5.36928
865.31,2.00253,3.99576,0.857097,12.2552,3.19555,5.02737,1.60148,3.40472,5.27401
868.337,2.0033,3.98893,0.859498,12.2231,3.16543,5.48865,1.53107,2.55596,5.70816
871.363,2.00483,4.00963,0.848226,12.2704,3.14593,4.71561,1.49849,2.87766,4.6606
874.389,2.00496,3.99766,0.852216,12.1791,3.1518,4.62794,1.49663,3.25564,4.92573
877.416,2.00377,3.99108,0.85238,12.2759,3.0996,5.00631,1.52837,3.23313,5.76981
881.894,2.00517,3.99798,0.847613,12.1881,3.14632,5.44391,1.6433,2.56361,5.18375
887.301,2.00388,4.00343,0.856806,12.2063,3.17218,5.49235,1.505,2.81698,4.83321
890.332,2.00561,3.98635,0.852915,12.1765,3.14034,5.27661,1.40738,2.96138,4.89723
893.359,2.00409,4.01052,0.847746,12.2361,3.07795,5.3741,1.72587,2.72582,5.50224
896.385,2.00674,3.98737,0.860647,12.2252,3.20054,5.28351,1.44732,3.24531,4.60855
899.411,2.00473,3.99744,0.861473,12.3222,3.22068,4.51461,1.59541,2.74683,4.75469
902.437,2.00651,4.01489,0.856297,12.2356,3.08614,4.72845,1.51049,3.44404,5.64409
905.464,2.00514,3.99604,0.856255,12.2799,3.21514,4.76198,1.48744,3.01196,5.8215
908.49,2.00271,3.99118,0.860436,12.2907,3.12473,5.48419,1.39287,2.80759,5.2078
911.517,2.00511,4.00159,0.852216,12.3005,3.10995,5.01731,1.49809,2.70298,4.81366
914.543,2.00444,4.00972,0.856538,12.1813,3.16291,4.97904,1.6881,3.05869,4.79921
917.57,2.0056,3.99882,0.856474,12.1909,3.07567,5.37082,1.68005,3.21744,4.81631
920.596,2.00489,3.99913,0.861876,12.2358,3.09215,4.75816,1.63399,3.09837,4.64244
923.622,2.0067,3.99457,0.861271,12.2502,3.14389,5.49298,1.4552,2.50341,5.03731
926.649,2.00309,3.98952,0.851153,12.2705,3.16174,5.13334,1.61727,2.85436,5.34368
929.675,2.00668,3.9997,0.860533,12.1871,3.18608,4.61692,1.47766,2.61485,5.36869
932.701,2.00421,4.01285,0.850251,12.1982,3.18019,5.06733,1.5016,3.02223,5.20556
935.728,2.00599,3.98545,0.857558,12.2173,3.20641,4.75155,1.74873,2.81387,5.36082
938.754,2.00652,4.00213,0.861801,12.2577,3.19022,4.71764,1.45065,2.92483,4.89339
956.789,2.00393,4.00672,0.855104,12.3214,3.09411,4.67862,1.74111,3.45924,5.60309
959.813,2.00524,4.01278,0.857585,12.2918,3.19505,5.3747,1.54432,2.60852,4.9814
962.84,2.00532,4.00053,0.860377,12.2897,3.11292,4.60526,1.55504,2.83348,5.79194
965.866,2.00354,4.00905,0.858152,12.2961,3.21567,4.56647,1.32769,3.3763,4.65139
968.892,2.00353,4.01157,0.858034,12.2258,3.10422,4.62966,1.57756,2.58929,4.71143
971.919,2.00315,4.00987,0.848671,12.2824,3.11288,5.09785,1.72347,2.97088,5.3077
974.945,2.00597,3.99757,0.858186,12.2677,3.18015,5.28385,1.39302,3.21671,5.41505
977.972,2.00494,3.99505,0.847752,12.2122,3.20848,4.75015,1.67124,3.16278,5.16573
980.998,2.00518,4.00157,0.859664,12.2865,3.11749,4.5347,1.70478,2.75558,4.85586
984.024,2.00382,4.0039,0.848826,12.2164,3.1845,5.21763,1.38677,3.38556,5.121
987.051,2.00639,3.99999,0.861991,12.1869,3.2055,4.50824,1.68368,2.50092,5.10889
990.077,2.00256,3.99853,0.85845,12.2672,3.08843,5.38499,1.35641,3.48445,5.55552
993.104,2.00443,3.99295,0.857276,12.1875,3.13416,5.22156,1.31941,2.87839,4.88763
996.13,2.00531,4.00116,0.853908,12.2007,3.22363,5.14692,1.66662,3.06253,5.38272
999.156,2.0073,4.00012,0.853847,12.2667,3.11378,4.83443,1.70734,2.98359,5.37361
1002.18,2.00535,3.99002,0.847724,12.301,3.21501,4.58025,1.3804,3.36737,5.40288
1005.21,2.00539,4.0106,0.86049,12.2243,3.21716,5.1545,1.52765,3.34998,4.73886
1008.24,2.00276,4.01028,0.854696,12.2799,3.17563,4.96015,1.64981,3.1208,5.16319
1011.26,2.00523,4.00877,0.862159,12.2888,3.19953,5.34435,1.67265,2.61635,5.78182
1014.29,2.00707,4.00952,0.858535,12.179,3.10406,4.72875,1.58588,3.1713,5.41038
1017.31,2.00368,3.99005,0.860136,12.2712,3.15081,4.74175,1.54572,3.39143,4.71357
1020.34,2.00313,3.98768,0.858505,12.1862,3.17038,4.88755,1.53332,2.74003,5.21982
1023.37,2.00487,4.01353,0.859113,12.3249,3.20963,4.60333,1.64304,3.33155,5.80286
1026.39,2.00579,4.00848,0.852907,12.1829,3.11172,4.87172,1.41534,2.6366,5.52593
1029.42,2.00305,3.998,0.848302,12.274,3.20054,5.32861,1.48486,2.70554,4.97786
1032.45,2.00333,3.99525,0.850607,12.3003,3.16487,5.13515,1.36858,2.67635,5.68366
1035.47,2.00542,3.98955,0.857512,12.1977,3.17077,4.69953,1.5456,2.78557,5.27308
1038.5,2.00529,3.98783,0.852062,12.2082,3.15132,5.00349,1.55856,3.04139,5.62268
1041.52,2.00316,3.99983,0.852684,12.3065,3.1195,5.42085,1.42379,3.22761,5.77811
1044.55,2.00547,3.99592,0.861981,12.1995,3.13976,4.68915,1.40516,2.56058,4.70561
1047.58,2.0072,3.9971,0.84752,12.1854,3.11331,4.54122,1.58171,2.98715,5.12754
1050.6,2.00677,4.00102,0.854722,12.2948,3.16357,4.96892,1.36964,3.18808,5.27538
1053.63,2.00262,3.9927,0.847759,12.2151,3.1596,5.08558,1.32015,2.77455,5.46315
1056.66,2.00527,3.99697,0.850387,12.2468,3.19446,5.09169,1.34175,3.21874,4.73938
1059.68,2.00707,3.98882,0.850221,12.178,3.16409,4.51794,1.65529,3.44806,4.95126
1062.71,2.00667,3.99767,0.857826,12.2714,3.16127,4.54891,1.56814,3.42381,5.56067
1065.74,2.00736,3.99774,0.859832,12.2095,3.17777,4.53081,1.52896,2.81137,4.78752
1068.76,2.00316,3.98754,0.849211,12.2495,3.16975,4.57511,1.61818,3.45408,5.40966
1071.79,2.00346,4.00419,0.847881,12.2448,3.07975,5.48727,1.27319,2.53656,5.7973
1074.82,2.0048,4.00996,0.848044,12.2356,3.09424,5.23355,1.69852,3.47067,5.52719
1077.84,2.00522,3.99414,0.85531,12.302,3.20512,4.555,1.42607,3.06907,5.10761
1080.87,2.00444,4.0024,0.85369,12.2233,3.14576,5.0437,1.52823,3.1392,4.98646
1083.89,2.0047,4.01362,0.856061,12.2199,3.1468,5.18047,1.45236,3.17515,4.88741
1086.92,2.0075,4.01254,0.85324,12.3148,3.17448,5.15336,1.41417,2.84008,5.31863
1089.95,2.00295,4.01044,0.852345,12.1842,3.20082,5.22876,1.39376,2.62086,4.72762
1092.97,2.0048,4.01013,0.862162,12.18,3.07619,4.68378,1.42531,2.67882,5.36508
1096,2.0042,3.99553,0.856605,12.1752,3.11404,4.83671,1.73398,2.62959,4.70728
1099.03,2.00439,4.00692,0.862222,12.2442,3.16304,4.87564,1.73005,2.81771,4.74791
1102.05,2.00496,3.99471,0.858222,12.1815,3.11501,4.65119,1.65854,3.22187,5.00637
1105.08,2.0034,4.00443,0.861326,12.1794,3.14955,5.1927,1.49845,2.70289,4.77972
1108.1,2.00623,3.98762,0.857849,12.312,3.12366,4.85329,1.49997,3.08627,5.08435
1111.13,2.00386,3.99325,0.854417,12.3041,3.18574,4.94616,1.38923,2.95923,5.57123
1114.16,2.00326,3.99619,0.855253,12.1827,3.12367,4.80014,1.37457,3.45544,5.00927
1117.18,2.00257,4.00083,0.850684,12.2365,3.11765,4.96585,1.2575,2.96307,4.99502
1120.21,2.00423,4.01048,0.861595,12.2934,3.08704,5.03261,1.74674,3.01353,5.52249
1123.24,2.00679,4.01485,0.855429,12.2967,3.08304,4.52993,1.54989,3.12739,5.50242
1126.26,2.00626,3.99475,0.858544,12.1902,3.19236,4.80684,1.66427,3.16574,5.66367
1129.29,2.00444,3.99684,0.847635,12.3226,3.19026,4.9446,1.55165,3.11231,4.71097
1132.32,2.0051,3.99098,0.861655,12.3024,3.14045,4.85776,1.7057,2.87825,4.68861
1135.34,2.00495,4.00087,0.848548,12.3236,3.22309,4.84009,1.40409,3.27866,5.03411
1138.37,2.00494,4.00091,0.854706,12.3081,3.12332,5.39593,1.64248,3.0284,5.33621
1141.39,2.0038,3.98967,0.862243,12.2975,3.21067,4.95306,1.41291,3.2393,5.32099
1144.42,2.00291,3.99852,0.8512,12.2468,3.11006,5.42324,1.42098,3.27348,5.28182
1147.45,2.00708,3.99323,0.851728,12.3074,3.16297,5.25978,1.41878,2.78811,4.93728
1150.47,2.00503,3.99216,0.856378,12.2037,3.09331,5.18796,1.50696,2.5114,5.76691
1153.5,2.00607,4.00182,0.850802,12.2532,3.07968,4.65199,1.50544,2.96287,4.75251
1156.53,2.00383,3.99015,0.859283,12.2718,3.08152,4.64351,1.58061,2.51698,5.12891
1159.55,2.0031,3.99335,0.857441,12.2118,3.12096,4.98183,1.72217,3.04022,5.74705
1162.58,2.00378,3.99615,0.858768,12.2557,3.16374,4.83268,1.4936,3.19955,5.25465
1165.61,2.00314,3.98696,0.857281,12.2671,3.10005,4.8314,1.70819,2.75564,5.65127
1168.63,2.00356,3.99397,0.857861,12.1868,3.13662,5.32959,1.31199,3.39102,5.55366
1171.66,2.00603,3.99958,0.858477,12.3183,3.1204,5.38442,1.62088,2.54903,5.22697
1174.69,2.00738,3.99946,0.853623,12.291,3.17051,5.33525,1.6319,2.54406,4.74478
1177.71,2.00316,4.00768,0.854116,12.3234,3.17514,4.6413,1.5694,2.93836,5.04187
1180.74,2.00425,4.00274,0.848094,12.2908,3.12641,5.11317,1.73952,3.15433,5.38284
1183.76,2.0036,4.01199,0.852662,12.2732,3.15282,4.53229,1.72847,2.6211,5.06435
1186.79,2.00444,3.99338,0.858444,12.1793,3.08378,5.13286,1.56967,2.99852,4.90493
1189.82,2.00305,3.99192,0.850199,12.291,3.10414,4.63565,1.74499,3.28183,5.55666
1192.84,2.00403,3.99731,0.852556,12.2224,3.14648,5.0875,1.74729,2.64987,4.98841
1195.87,2.00729,3.99831,0.851469,12.1855,3.11512,4.727,1.35447,2.78032,5.7588
1198.9,2.00394,4.00756,0.861144,12.2485,3.20224,5.18776,1.30567,3.27344,5.74814
1201.92,2.00641,4.00917,0.851912,12.1845,3.09323,5.0335,1.45571,3.37199,5.71234
1204.95,2.00467,4.01037,0.850792,12.3045,3.19317,4.85153,1.48192,3.48097,5.80089
1207.97,2.0074,3.99815,0.8624,12.2599,3.07883,5.04202,1.72078,2.82363,4.6167
1211,2.00338,4.00319,0.859016,12.2644,3.21752,5.4262,1.37959,3.29174,4.85541
1214.03,2.0064,3.9968,0.855072,12.2564,3.1954,4.60268,1.69318,2.8331,5.2882
1217.05,2.00519,3.98637,0.857845,12.2039,3.17631,4.87657,1.55354,3.21758,4.95559
1220.08,2.00321,3.98785,0.853574,12.2657,3.10208,4.91833,1.73229,2.91074,4.68205
1223.11,2.00385,4.01078,0.858271,12.2788,3.08759,4.95415,1.45637,2.55903,4.67407
1226.13,2.00721,3.99234,0.861474,12.23,3.11645,5.34485,1.42056,3.37369,5.37486
1229.16,2.00541,3.9921,0.850199,12.2938,3.11891,4.54785,1.32429,2.73113,5.17921
1232.19,2.00691,4.00323,0.851855,12.2218,3.11491,4.57959,1.26861,2.66842,5.19681
1235.21,2.0043,3.98599,0.858734,12.1794,3.08315,4.55893,1.47956,3.2094,5.76857
1238.24,2.00351,3.98692,0.848537,12.1823,3.15284,4.67686,1.64202,3.37162,5.29347
1241.26,2.00387,3.99615,0.851635,12.1819,3.22124,4.51144,1.30416,3.11785,4.79165
1244.29,2.00529,4.00636,0.848615,12.2656,3.14501,5.3772,1.65986,2.94901,5.3756
1247.32,2.00712,3.98641,0.847513,12.2056,3.14864,4.96607,1.37633,2.70843,5.73942
1250.34,2.00595,4.00694,0.853176,12.205,3.09009,4.5196,1.47401,3.16184,4.69805
1253.37,2.00344,3.99977,0.859592,12.304,3.2047,4.53636,1.57699,2.90761,5.72404
1256.4,2.00387,4.00343,0.860062,12.3115,3.08022,5.22013,1.2766,2.89539,4.65019
